image path,timestamp,camera,sample,area,barcode
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_25_11:56:52.jpg,2023_10_25_11:56:52,6,0,18882,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_25_11:56:52.jpg,2023_10_25_11:56:52,6,1,21534,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_25_11:56:52.jpg,2023_10_25_11:56:52,6,2,19992,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:31:48.jpg,2023_10_18_12:31:48,3,0,10842,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:31:48.jpg,2023_10_18_12:31:48,3,1,11460,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:31:48.jpg,2023_10_18_12:31:48,3,2,13452,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_24_12:05:51.jpg,2023_10_24_12:05:51,7,0,9864,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_24_12:05:51.jpg,2023_10_24_12:05:51,7,1,11160,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_24_12:05:51.jpg,2023_10_24_12:05:51,7,2,9171,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_23_12:00:29.jpg,2023_10_23_12:00:29,3,0,20703,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_23_12:00:29.jpg,2023_10_23_12:00:29,3,1,24147,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_23_12:00:29.jpg,2023_10_23_12:00:29,3,2,23043,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_19_12:02:52.jpg,2023_10_19_12:02:52,3,0,10545,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_19_12:02:52.jpg,2023_10_19_12:02:52,3,1,11406,N/A
